"lake","site","laketype","date","chla_ugL_INT","NH4_mgL","pH","secchi_m","TN_mgm3","TP_mgm3","depth_m","method","TN_TP"
"Okaro","1","Stratified",2018-12-12,25.8,0.106,8.78,1.45,1220,79,"0.1","integrated",15.4430379746835
"Tikitapu","1","Stratified",2018-12-12,1.1,0.003,6.99,5.4,179,4,"0.1","integrated",44.75
"Rerewhakaaitu","1","Polymictic",2018-12-12,8.2,0.052,7.29,3.55,461,14,"0.1","integrated",32.9285714285714
"Rotomahana","2","Stratified",2018-12-12,4.7,0.005,7.75,2.7,260,71,"0.1","integrated",3.66197183098592
"Rotoehu","3","Polymictic",2018-12-13,17.3,0.036,8.5,2,263,87,"0.1","integrated",3.02298850574713
"Rotoma","1","Stratified",2019-01-14,1,0.003,7.38,12,110,8,"0.1","integrated",13.75
"Rotoehu","3","Polymictic",2019-01-14,96.4,0.006,9.18,0.9,1230,82,"0.1","integrated",15
"Rotoiti","Okawa","Stratified",2019-01-14,7.9,0.002,7.29,2.7,230,25,"0.1","integrated",9.2
"Rotoiti","3","Stratified",2019-01-14,6.7,0.002,7.47,5.7,177,15,"0.1","integrated",11.8
"Okataina","1","Stratified",2019-01-14,1.5,0.001,7.52,10.1,71,11,"0.1","integrated",6.45454545454545
"Rotorua","5","Polymictic",2019-01-15,9.2,0.066,6.84,4,317,14,"0.1","integrated",22.6428571428571
"Rotorua","2","Polymictic",2019-01-15,9.7,0.065,7.03,3.95,327,15,"0.1","integrated",21.8
"Tikitapu","1","Stratified",2019-01-15,1.6,0.005,6.94,5.7,170,5,"0.1","integrated",34
"Okareka","1","Stratified",2019-01-15,4.3,0.006,8.02,6.7,191,10,"0.1","integrated",19.1
"Rotoiti","4","Stratified",2019-01-15,3.3,0.001,7.4,8,160,11,"0.1","integrated",14.5454545454545
"Tarawera","5","Stratified",2019-01-15,2.7,0.003,8.03,7,104,20,"0.1","integrated",5.2
"Okaro","1","Stratified",2019-01-16,9.2,0.0565,7.66,3.1,791.5,49,"0.1","integrated",16.1530612244898
"Rerewhakaaitu","1","Polymictic",2019-01-16,14.2,0.019,7.36,3.1,468,19,"0.1","integrated",24.6315789473684
"Rotomahana","2","Stratified",2019-01-16,2.2,0.003,7.83,4.7,214,50,"0.1","integrated",4.28
"Rotorua","5","Polymictic",2019-02-07,11.1333333333333,0.066,6.96666666666667,3.45,358,22,"0.1","integrated",16.2727272727273
"Rotorua","2","Polymictic",2019-02-07,11.3666666666667,0.093,7.44,3.41666666666667,371,24,"0.1","integrated",15.4583333333333
"Rotoehu","3","Polymictic",2019-02-07,84.7333333333333,0.224,9.04333333333333,1.01666666666667,941,100,"0.1","integrated",9.41
"Rotorua","5","Polymictic",2019-02-14,13.0666666666667,0.006,7.09333333333333,2.9,281,17,"0.1","integrated",16.5294117647059
"Rotorua","2","Polymictic",2019-02-14,13.0333333333333,0.006,7.85,2.88333333333333,302,20,"0.1","integrated",15.1
"Rotoehu","3","Polymictic",2019-02-14,73.0666666666667,0.018,8.90666666666667,1.13333333333333,1999,158,"0.1","integrated",12.6518987341772
"Rotoma","1","Stratified",2019-02-18,0.7,0.004,7.51,12.95,124,7,"0.1","integrated",17.7142857142857
"Rotoiti","4","Stratified",2019-02-18,4.3,0.002,8.28,7,185,16,"0.1","integrated",11.5625
"Rotoiti","Okawa","Stratified",2019-02-18,12.1,0.004,7.53,2.05,327,41,"0.1","integrated",7.97560975609756
"Rotoiti","3","Stratified",2019-02-18,14.7,0.002,7.81,4.4,240,23,"0.1","integrated",10.4347826086957
"Okataina","1","Stratified",2019-02-18,1.2,0,7.79,11.9,75,10,"0.1","integrated",7.5
"Rotorua","5","Polymictic",2019-02-19,15,0.003,7.22,2.35,296,21,"0.1","integrated",14.0952380952381
"Rotorua","2","Polymictic",2019-02-19,14.7,0.002,8.26,2.35,283,24,"0.1","integrated",11.7916666666667
"Rotoehu","3","Polymictic",2019-02-19,61.4,0.038,8.77,1.25,1350,107,"0.1","integrated",12.6168224299065
"Tarawera","5","Stratified",2019-02-19,1.3,0.003,8.16,7.325,99,18,"0.1","integrated",5.5
"Okaro","1","Stratified",2019-02-20,1.8,0.007,7.63,4.2,363,19,"0.1","integrated",19.1052631578947
"Tikitapu","1","Stratified",2019-02-20,0.9,0.003,7.04,6.25,164,4,"0.1","integrated",41
"Okareka","1","Stratified",2019-02-20,1.5,0.002,8.22,7,205,9,"0.1","integrated",22.7777777777778
"Rerewhakaaitu","1","Polymictic",2019-02-20,7.1,0.009,8.17,3.05,424,14,"0.1","integrated",30.2857142857143
"Rotomahana","2","Stratified",2019-02-20,2.5,0.005,7.91,5.2,218,45,"0.1","integrated",4.84444444444444
"Rotorua","5","Polymictic",2019-02-28,14.175,0.001,7.1175,2.45,335,26,"0.1","integrated",12.8846153846154
"Rotorua","2","Polymictic",2019-02-28,14.325,0.18,7.8675,2.4375,380,31,"0.1","integrated",12.258064516129
"Rotoehu","3","Polymictic",2019-02-28,53.25,0.163,8.7925,1.1875,1186,115,"0.1","integrated",10.3130434782609
"Rotorua","5","Polymictic",2019-03-07,13.35,0.006,7.015,2.55,384,31,"0.1","integrated",12.3870967741935
"Rotorua","2","Polymictic",2019-03-07,13.95,0.006,7.475,2.525,413,30,"0.1","integrated",13.7666666666667
"Rotoehu","3","Polymictic",2019-03-07,45.1,0.024,8.815,1.125,1024,80,"0.1","integrated",12.8
"Rotorua","5","Polymictic",2019-03-14,12.525,0.011,6.9125,2.65,314,24,"0.1","integrated",13.0833333333333
"Rotorua","2","Polymictic",2019-03-14,13.575,0.018,7.0825,2.6125,358,27,"0.1","integrated",13.2592592592593
"Rotoehu","3","Polymictic",2019-03-14,36.95,0.01,8.8375,1.0625,1748,136,"0.1","integrated",12.8529411764706
"Rotoma","1","Stratified",2019-03-18,1.1,0.006,7.49,13.7,157,9,"0.1","integrated",17.4444444444444
"Rotoiti","Okawa","Stratified",2019-03-18,22.4,0.007,8.48,2.85,476,58,"0.1","integrated",8.20689655172414
"Rotoiti","3","Stratified",2019-03-18,10.2,0.007,7.84,5.45,221,22,"0.1","integrated",10.0454545454545
"Okataina","1","Stratified",2019-03-18,1.5,0.006,7.58,12.25,98,12,"0.1","integrated",8.16666666666667
"Rotorua","5","Polymictic",2019-03-19,11.7,0.007,6.81,2.75,293,25,"0.1","integrated",11.72
"Rotorua","2","Polymictic",2019-03-19,13.2,0.008,6.69,2.7,340,29,"0.1","integrated",11.7241379310345
"Okareka","1","Stratified",2019-03-19,2.3,0.005,7.98,9.15,195,10,"0.1","integrated",19.5
"Rotoehu","3","Polymictic",2019-03-19,28.8,0.019,8.86,1,794,69,"0.1","integrated",11.5072463768116
"Rotoiti","4","Stratified",2019-03-19,13.7,0.005,8.57,5.7,232,22,"0.1","integrated",10.5454545454545
"Tarawera","5","Stratified",2019-03-19,1.1,0.005,7.95,8.25,118,19,"0.1","integrated",6.21052631578947
"Okaro","1","Stratified",2019-03-20,3.1,0.005,7.82,5.7,372,18,"0.1","integrated",20.6666666666667
"Tikitapu","1","Stratified",2019-03-20,1.2,0.005,7.12,7.95,182,3,"0.1","integrated",60.6666666666667
"Rerewhakaaitu","1","Polymictic",2019-03-20,10.6,0.008,7.81,4.1,478,18,"0.1","integrated",26.5555555555556
"Rotomahana","2","Stratified",2019-03-20,4.5,0.003,7.74,4.35,250,53,"0.1","integrated",4.71698113207547
"Rotorua","5","Polymictic",2019-04-04,13.1,0.01,6.93,2.63333333333333,370,33,"0.1","integrated",11.2121212121212
"Rotorua","2","Polymictic",2019-04-04,12.8666666666667,0.022,6.81333333333333,2.6,423,36,"0.1","integrated",11.75
"Rotoehu","3","Polymictic",2019-04-04,32.5333333333333,0.006,8.59666666666667,1.01666666666667,915,82,"0.1","integrated",11.1585365853659
"Rotorua","5","Polymictic",2019-04-11,14.5,0.007,7.05,2.51666666666667,374,38,"0.1","integrated",9.8421052631579
"Rotorua","2","Polymictic",2019-04-11,12.5333333333333,0.008,6.93666666666667,2.5,410,33,"0.1","integrated",12.4242424242424
"Rotoehu","3","Polymictic",2019-04-11,36.2666666666667,0.008,8.33333333333333,1.03333333333333,918,84,"0.1","integrated",10.9285714285714
"Rotoma","1","Stratified",2019-04-14,1.6,0.006,7.44,10.2,129,9,"0.1","integrated",14.3333333333333
"Rotoiti","Okawa","Stratified",2019-04-14,15.1,0.01,7.52,2.4,489,47,"0.1","integrated",10.4042553191489
"Okataina","1","Stratified",2019-04-14,1,0.006,7.66,11.1,106,11,"0.1","integrated",9.63636363636364
"Rotorua","5","Polymictic",2019-04-15,15.9,0.004,7.17,2.4,341,27,"0.1","integrated",12.6296296296296
"Rotorua","2","Polymictic",2019-04-15,12.2,0.019,7.06,2.4,332,27,"0.1","integrated",12.2962962962963
"Okareka","1","Stratified",2019-04-15,2.1,0.005,7.73,9.4,199,11,"0.1","integrated",18.0909090909091
"Rotoehu","3","Polymictic",2019-04-15,40,0.011,8.07,1.05,778,71,"0.1","integrated",10.9577464788732
"Rotoiti","4","Stratified",2019-04-15,9.2,0.007,7.32,7.3,190,18,"0.1","integrated",10.5555555555556
"Rotoiti","3","Stratified",2019-04-15,29,0.006,7.42,4.4,256,25,"0.1","integrated",10.24
"Tarawera","5","Stratified",2019-04-15,1.2,0.006,7.81,7.4,110,18,"0.1","integrated",6.11111111111111
"Okaro","1","Stratified",2019-04-16,3.5,0.008,7.55,6.05,363,18,"0.1","integrated",20.1666666666667
"Tikitapu","1","Stratified",2019-04-16,1.7,0.005,7.17,8.4,191,6,"0.1","integrated",31.8333333333333
"Rerewhakaaitu","1","Polymictic",2019-04-16,9.7,0.013,7.61,4.9,440,18,"0.1","integrated",24.4444444444444
"Rotomahana","2","Stratified",2019-04-16,3.8,0.003,7.6,5.15,211,44,"0.1","integrated",4.79545454545455
"Rotorua","5","Polymictic",2019-04-25,13.75,0.008,6.96,2.8,366,35,"0.1","integrated",10.4571428571429
"Rotorua","2","Polymictic",2019-04-25,12.25,0.012,7.07,2.675,368,42,"0.1","integrated",8.76190476190476
"Okaro","1","Stratified",2019-04-25,7.25,0.11,7.495,5.175,417,28,"0.1","integrated",14.8928571428571
"Rotoehu","3","Polymictic",2019-04-25,27.95,0.01,7.85,1.3,798,80,"0.1","integrated",9.975
"Rotoma","1","Stratified",2019-05-13,1.4,0.005,7.55,11.45,113,10,"0.1","integrated",11.3
"Rotoehu","3","Polymictic",2019-05-13,15.9,0.272,7.63,1.55,830,89,"0.1","integrated",9.32584269662921
"Rotoiti","4","Stratified",2019-05-13,9.3,0.004,7.3,7.95,160,18,"0.1","integrated",8.88888888888889
"Rotoiti","Okawa","Stratified",2019-05-13,14.8,0.004,7.49,2.15,405,43,"0.1","integrated",9.41860465116279
"Rotoiti","3","Stratified",2019-05-13,9.8,0.004,7.43,6.8,172,18,"0.1","integrated",9.55555555555556
"Okataina","1","Stratified",2019-05-13,2.2,0.003,7.55,11.25,87,18,"0.1","integrated",4.83333333333333
"Rotorua","5","Polymictic",2019-05-14,11.6,0.024,6.75,3.2,306,30,"0.1","integrated",10.2
"Rotorua","2","Polymictic",2019-05-14,12.3,0.019,7.08,2.95,353,33,"0.1","integrated",10.6969696969697
"Tikitapu","1","Stratified",2019-05-14,2.2,0.003,6.73,8.5,172,2,"0.1","integrated",86
"Okareka","1","Stratified",2019-05-14,4.5,0.006,7.54,9.4,179,14,"0.1","integrated",12.7857142857143
"Tarawera","5","Stratified",2019-05-14,1.4,0.006,7.84,9.15,90,17,"0.1","integrated",5.29411764705882
"Okaro","1","Stratified",2019-05-15,11,0.042,7.44,4.3,412,35,"0.1","integrated",11.7714285714286
"Rerewhakaaitu","1","Polymictic",2019-05-15,3.9,0.017,7.51,4.2,388,11,"0.1","integrated",35.2727272727273
"Rotomahana","2","Stratified",2019-05-15,4.7,0.002,6.84,5.55,214,40.5,"0.1","integrated",5.28395061728395
"Rotorua","5","Polymictic",2019-05-23,14.6,0.008,6.95,2.675,310,24,"0.1","integrated",12.9166666666667
"Rotorua","2","Polymictic",2019-05-23,14.85,0.019,7.155,2.575,324,24,"0.1","integrated",13.5
"Rotoehu","3","Polymictic",2019-05-23,22.55,0.276,7.77,1.5,845,58,"0.1","integrated",14.5689655172414
"Rotoma","1","Stratified",2019-06-17,1.2,0.004,7.28,13.1,100,6,"0.1","integrated",16.6666666666667
"Rotoehu","3","Polymictic",2019-06-17,29.2,0.147,7.91,1.45,842,63,"0.1","integrated",13.3650793650794
"Rotoiti","4","Stratified",2019-06-17,4.6,0.037,6.75,6.75,176,39,"0.1","integrated",4.51282051282051
"Rotoiti","Okawa","Stratified",2019-06-17,12.6,0.02,7.38,2.8,383,36,"0.1","integrated",10.6388888888889
"Rotoiti","3","Stratified",2019-06-17,5.3,0.034,7.05,5.5,187,32,"0.1","integrated",5.84375
"Okataina","1","Stratified",2019-06-17,2.7,0.001,7.42,11.9,82,10,"0.1","integrated",8.2
"Rotorua","5","Polymictic",2019-06-18,17.6,0.001,7.15,2.15,282,22,"0.1","integrated",12.8181818181818
"Rotorua","2","Polymictic",2019-06-18,17.4,0.004,7.23,2.2,286,22,"0.1","integrated",13
"Tikitapu","1","Stratified",2019-06-18,3.2,0.001,6.63,7.5,168,4,"0.1","integrated",42
"Okareka","1","Stratified",2019-06-18,4.7,0.007,7.39,7,173,10,"0.1","integrated",17.3
"Tarawera","5","Stratified",2019-06-18,2.1,-0.001,7.74,5,86,16,"0.1","integrated",5.375
"Okaro","1","Stratified",2019-06-19,2.6,0.477,7.18,6.5,973,96,"0.1","integrated",10.1354166666667
"Rerewhakaaitu","1","Polymictic",2019-06-19,2.6,0.01,7.56,5.8,383,10,"0.1","integrated",38.3
"Rotomahana","2","Stratified",2019-06-19,4.5,-0.002,6.99,6.95,243,37,"0.1","integrated",6.56756756756757
"Rotoma","1","Stratified",2019-07-15,1.5,0.008,7.29,9.85,160,9,"0.1","integrated",17.7777777777778
"Rotoiti","Okawa","Stratified",2019-07-15,10.1,0.01,7.49,4.8,311,34,"0.1","integrated",9.14705882352941
"Okataina","1","Stratified",2019-07-15,3.1,0.002,7.19,9.25,93,11,"0.1","integrated",8.45454545454546
"Rotorua","5","Polymictic",2019-07-16,13.1,0,6.99,2.85,278,18,"0.1","integrated",15.4444444444444
"Rotorua","2","Polymictic",2019-07-16,10.3,0.009,6.83,1.95,297,19,"0.1","integrated",15.6315789473684
"Okareka","1","Stratified",2019-07-16,3.2,0.007,7.41,6.9,183,10,"0.1","integrated",18.3
"Rotoehu","3","Polymictic",2019-07-16,30.5,0.005,7.86,1.55,811,60,"0.1","integrated",13.5166666666667
"Rotoiti","4","Stratified",2019-07-16,10.6,0.025,6.85,5.55,201,41,"0.1","integrated",4.90243902439024
"Rotoiti","3","Stratified",2019-07-16,11.8,0.008,7.11,5.6,192,37,"0.1","integrated",5.18918918918919
"Tarawera","5","Stratified",2019-07-16,1.9,0,7.56,8,71,16,"0.1","integrated",4.4375
"Okaro","1","Stratified",2019-07-17,3.1,0.605,7.38,6.2,1005,90,"0.1","integrated",11.1666666666667
"Tikitapu","1","Stratified",2019-07-17,3.3,-0.001,6.91,7.55,157,3,"0.1","integrated",52.3333333333333
"Rerewhakaaitu","1","Polymictic",2019-07-17,2.9,0.004,7.46,6.8,338,7,"0.1","integrated",48.2857142857143
"Rotomahana","2","Stratified",2019-07-17,1.3,0.002,6.9,5.9,242,38,"0.1","integrated",6.36842105263158
"Rerewhakaaitu","1","Polymictic",2019-08-21,1.7,0.003,7.58,7.3,371,8,"0.1","integrated",46.375
"Rotomahana","2","Stratified",2019-08-21,2.1,0.006,7.11,8.35,282,42,"0.1","integrated",6.71428571428571
"Okaro","1","Stratified",2019-08-22,15.1,0.323,7.73,2.4,960,75,"0.1","integrated",12.8
"Rotoma","1","Stratified",2019-09-17,0.6,0.001,7.49,12.6,113,14,"0.1","integrated",8.07142857142857
"Rotoiti","Okawa","Stratified",2019-09-17,4.2,0.01,7.56,3.75,419,32,"0.1","integrated",13.09375
"Okataina","1","Stratified",2019-09-17,1.9,-0.001,7.54,7.75,98,12,"0.1","integrated",8.16666666666667
"Rotorua","5","Polymictic",2019-09-18,4.1,0.004,7.12,4.05,210,11,"0.1","integrated",19.0909090909091
"Rotorua","2","Polymictic",2019-09-18,2,0.023,7.13,3.95,257,15,"0.1","integrated",17.1333333333333
"Tikitapu","1","Stratified",2019-09-18,1.1,0.002,6.72,7.9,160,4,"0.1","integrated",40
"Okareka","1","Stratified",2019-09-18,1.6,0.002,8.18,9,178,9,"0.1","integrated",19.7777777777778
"Rotoehu","3","Polymictic",2019-09-18,5.6,0.002,8.53,1.25,537,46,"0.1","integrated",11.6739130434783
"Rotoiti","4","Stratified",2019-09-18,1.4,0.002,7.36,6,157,27,"0.1","integrated",5.81481481481481
"Rotoiti","3","Stratified",2019-09-18,2.1,0.002,7.31,4.6,154,20,"0.1","integrated",7.7
"Tarawera","5","Stratified",2019-09-18,0.8,0,7.92,9.65,72,17,"0.1","integrated",4.23529411764706
"Okaro","1","Stratified",2019-09-19,9.5,0.006,9.36,2.2,654,30,"0.1","integrated",21.8
"Rerewhakaaitu","1","Polymictic",2019-09-19,1.4,0.004,7.6,7.3,343,7,"0.1","integrated",49
"Rotomahana","2","Stratified",2019-09-19,7.5,0.002,7.17,3.3,199,39,"0.1","integrated",5.1025641025641
"Rotoma","1","Stratified",2019-10-16,1.3,0.001,7.61,10.9,93,3,"0.1","integrated",31
"Rotoiti","4","Stratified",2019-10-16,2.2,0.003,7.45,6.4,131,25,"0.1","integrated",5.24
"Rotoiti","Okawa","Stratified",2019-10-16,4,0.004,7.61,2.95,281,29,"0.1","integrated",9.68965517241379
"Rotoiti","3","Stratified",2019-10-16,2.1,0.007,7.44,4.3,165,24,"0.1","integrated",6.875
"Rotorua","5","Polymictic",2019-10-20,2.7,0.027,7.07,3.75,274,15,"0.1","integrated",18.2666666666667
"Rotorua","2","Polymictic",2019-10-20,2.5,0.026,7.07,3.85,284,13,"0.1","integrated",21.8461538461538
"Tikitapu","1","Stratified",2019-10-20,1.6,0.002,6.88,8.4,159,4,"0.1","integrated",39.75
"Okareka","1","Stratified",2019-10-20,3.3,0.004,7.95,8.4,149,6,"0.1","integrated",24.8333333333333
"Tarawera","5","Stratified",2019-10-20,0.6,0.001,8.04,7.8,67,11,"0.1","integrated",6.09090909090909
"Okaro","1","Stratified",2019-10-21,3.4,0.007,9.24,3.15,420,24,"0.1","integrated",17.5
"Rerewhakaaitu","1","Polymictic",2019-10-21,3.2,0.005,7.7,5.15,360,11,"0.1","integrated",32.7272727272727
"Rotomahana","2","Stratified",2019-10-21,2.8,0.001,7.5,4.4,188,25,"0.1","integrated",7.52
"Rotoma","1","Stratified",2019-11-18,0.9,0.005,7.65,20.25,125,2,"0.1","integrated",62.5
"Rotoehu","3","Polymictic",2019-11-18,5.1,0.003,8,2.65,339,21,"0.1","integrated",16.1428571428571
"Rotoiti","Okawa","Stratified",2019-11-18,3.7,0.003,7.6,3.5,254,25,"0.1","integrated",10.16
"Rotoiti","3","Stratified",2019-11-18,2.8,0.001,7.55,4.4,183,20,"0.1","integrated",9.15
"Okataina","1","Stratified",2019-11-18,1.2,0.002,7.85,10.35,91,4,"0.1","integrated",22.75
"Rotorua","5","Polymictic",2019-11-19,7.2,0.027,7.05,3.4,312,16,"0.1","integrated",19.5
"Rotorua","2","Polymictic",2019-11-19,6.8,0.037,6.95,3.45,341,18,"0.1","integrated",18.9444444444444
"Tikitapu","1","Stratified",2019-11-19,2.1,0.003,6.94,7.85,155,2,"0.1","integrated",77.5
"Okareka","1","Stratified",2019-11-19,2.2,0.003,8.07,7.6,179,6,"0.1","integrated",29.8333333333333
"Tarawera","5","Stratified",2019-11-19,1.2,0.004,8.15,8.4,78,8,"0.1","integrated",9.75
"Okaro","1","Stratified",2019-11-20,5,0.005,8.51,4.4,361,19,"0.1","integrated",19
"Rerewhakaaitu","1","Polymictic",2019-11-20,3.3,0.005,7.69,4.5,360,9,"0.1","integrated",40
"Rotomahana","2","Stratified",2019-11-20,1.8,0.001,7.8,5.05,172,22,"0.1","integrated",7.81818181818182
"Rotoma","1","Stratified",2019-12-09,0.6,0.006,7.72,11.1,119,6,"0.1","integrated",19.8333333333333
"Rotoehu","3","Polymictic",2019-12-09,5,0.008,8.02,3.05,344,21,"0.1","integrated",16.3809523809524
"Rotoiti","4","Stratified",2019-12-09,1.8,0.006,7.93,7.3,168,20,"0.1","integrated",8.4
"Rotoiti","Okawa","Stratified",2019-12-09,7.6,0.009,8.15,2.4,373,34,"0.1","integrated",10.9705882352941
"Rotoiti","3","Stratified",2019-12-09,2.7,0.006,7.95,5.4,206,19,"0.1","integrated",10.8421052631579
"Okataina","1","Stratified",2019-12-09,0.9,0.004,7.94,11.9,91,6,"0.1","integrated",15.1666666666667
"Rotorua","5","Polymictic",2019-12-10,10,0.014,7.27,2.45,309,17,"0.1","integrated",18.1764705882353
"Rotorua","2","Polymictic",2019-12-10,7.5,0.034,7.11,2.45,317,17,"0.1","integrated",18.6470588235294
"Okareka","1","Stratified",2019-12-10,1,0.005,8.04,7.9,166,5,"0.1","integrated",33.2
"Tarawera","5","Stratified",2019-12-10,1.7,0.004,8.19,10.9,86,8,"0.1","integrated",10.75
"Okaro","1","Stratified",2019-12-11,3,0.01,9.19,6,361,17,"0.1","integrated",21.2352941176471
"Tikitapu","1","Stratified",2019-12-11,1.2,0.005,6.88,7.7,172,3,"0.1","integrated",57.3333333333333
"Rerewhakaaitu","1","Polymictic",2019-12-11,2.3,0.032,7.41,5.6,399,11,"0.1","integrated",36.2727272727273
"Rotomahana","2","Stratified",2019-12-11,1.8,0.002,7.97,3.75,203,24,"0.1","integrated",8.45833333333333
"Rotoma","1","Stratified",2020-01-20,0.5,0.005,7.71,13.9,101,5,"0.1","integrated",20.2
"Rotoehu","3","Polymictic",2020-01-20,4.3,0.006,8.29,3.4,277,17,"0.1","integrated",16.2941176470588
"Rotoiti","Okawa","Stratified",2020-01-20,1.4,0.01,8.58,2.75,224,25,"0.1","integrated",8.96
"Rotoiti","3","Stratified",2020-01-20,2.8,0.004,7.72,5.9,185,19,"0.1","integrated",9.73684210526316
"Okataina","1","Stratified",2020-01-20,1.4,0.006,7.98,10.5,88,7,"0.1","integrated",12.5714285714286
"Rotorua","5","Polymictic",2020-01-21,6.2,0.01,7.5,3,262,15,"0.1","integrated",17.4666666666667
"Rotorua","2","Polymictic",2020-01-21,5.7,0.006,7.22,3.1,251,14,"0.1","integrated",17.9285714285714
"Tikitapu","1","Stratified",2020-01-21,0.8,0.006,6.84,6.825,170,5,"0.1","integrated",34
"Okareka","1","Stratified",2020-01-21,1,0.008,8.19,8.35,182,8,"0.1","integrated",22.75
"Rotoiti","4","Stratified",2020-01-21,1.5,0.005,7.86,8.75,145,16,"0.1","integrated",9.0625
"Tarawera","5","Stratified",2020-01-21,1.6,0.005,8.23,7.15,105,9,"0.1","integrated",11.6666666666667
"Okaro","1","Stratified",2020-01-22,1.8,0.012,8.13,6.45,309,13,"0.1","integrated",23.7692307692308
"Rerewhakaaitu","1","Polymictic",2020-01-22,3.5,0.013,8.12,4.7,388,12,"0.1","integrated",32.3333333333333
"Rotomahana","2","Stratified",2020-01-22,2.6,0.009,7.91,4.2,229,28,"0.1","integrated",8.17857142857143
"Rotoma","1","Stratified",2020-02-17,0.8,0.001,7.74,15.5,94,4,"0.1","integrated",23.5
"Rotoehu","3","Polymictic",2020-02-17,11.4,0.001,8.49,3.35,354,22,"0.1","integrated",16.0909090909091
"Rotoiti","4","Stratified",2020-02-17,2.5,0.001,8.12,9.1,159,12,"0.1","integrated",13.25
"Rotoiti","Okawa","Stratified",2020-02-17,7.7,0.001,9.02,3.1,325,39,"0.1","integrated",8.33333333333333
"Rotoiti","3","Stratified",2020-02-17,7,0.001,7.86,6.1,186,18,"0.1","integrated",10.3333333333333
"Okataina","1","Stratified",2020-02-17,2.4,0,8.22,10.25,86,7,"0.1","integrated",12.2857142857143
"Rotorua","5","Polymictic",2020-02-18,4.4,0.016,7.04,5.2,232,15,"0.1","integrated",15.4666666666667
"Rotorua","2","Polymictic",2020-02-18,5.6,0.001,6.93,5.2,318,18,"0.1","integrated",17.6666666666667
"Tikitapu","1","Stratified",2020-02-18,1.7,0.001,7.03,5.2,161,5,"0.1","integrated",32.2
"Okareka","1","Stratified",2020-02-18,1.4,0.002,8.28,8.2,158,6,"0.1","integrated",26.3333333333333
"Tarawera","5","Stratified",2020-02-18,1.4,0,8.3,7.2,96,7,"0.1","integrated",13.7142857142857
"Okaro","1","Stratified",2020-02-19,5.1,0.008,7.96,6.95,334,18,"0.1","integrated",18.5555555555556
"Rerewhakaaitu","1","Polymictic",2020-02-19,6.2,0.004,7.9,4,365,10,"0.1","integrated",36.5
"Rotomahana","2","Stratified",2020-02-19,2.5,0,7.91,4.6,188,24,"0.1","integrated",7.83333333333333
"Rotoma","1","Stratified",2020-06-15,1.2,0.002,7.41,14.6,114,5,"0.1","integrated",22.8
"Rotoiti","Okawa","Stratified",2020-06-15,7,0.007,7.54,3.3,343,35,"0.1","integrated",9.8
"Rotoiti","3","Stratified",2020-06-15,8,0.003,7.14,6,160,31,"0.1","integrated",5.16129032258065
"Okataina","1","Stratified",2020-06-15,1.6,0.003,7.52,12.8,114,10,"0.1","integrated",11.4
"Rotorua","5","Polymictic",2020-06-16,21.5,0.012,7.17,3.8,418,27,"0.1","integrated",15.4814814814815
"Rotorua","2","Polymictic",2020-06-16,15.8,0.015,7.06,3.9,377,28,"0.1","integrated",13.4642857142857
"Tikitapu","1","Stratified",2020-06-16,3.4,0.003,6.58,6.1,172,4,"0.1","integrated",43
"Okareka","1","Stratified",2020-06-16,3.7,0.002,7.47,8.2,163,9,"0.1","integrated",18.1111111111111
"Rotoehu","3","Polymictic",2020-06-16,12.9,0.001,8.02,3,277,18,"0.1","integrated",15.3888888888889
"Rotoiti","4","Stratified",2020-06-16,10.3,0.003,6.96,5.65,166,42,"0.1","integrated",3.95238095238095
"Tarawera","5","Stratified",2020-06-16,1.8,0.002,7.85,9.95,90,12,"0.1","integrated",7.5
"Okaro","1","Stratified",2020-06-17,22.9,0.276,7.22,3.9,778,80,"0.1","integrated",9.725
"Rerewhakaaitu","1","Polymictic",2020-06-17,4.4,0.006,7.62,7.1,331,10,"0.1","integrated",33.1
"Rotomahana","2","Stratified",2020-06-17,6.9,-0.001,6.78,6.1,197,29,"0.1","integrated",6.79310344827586
"Rotoma","1","Stratified",2020-07-20,1.1,0.0025,7.28,13.3,114,4,"0.1","integrated",28.5
"Rotoiti","Okawa","Stratified",2020-07-20,11,0.013,7.54,3.15,312,38,"0.1","integrated",8.21052631578947
"Okataina","1","Stratified",2020-07-20,2.5,0.01,7.31,9.5,90,8,"0.1","integrated",11.25
"Rotorua","5","Polymictic",2020-07-21,14.7,0.007,7.04,3.1,270,19,"0.1","integrated",14.2105263157895
"Rotorua","2","Polymictic",2020-07-21,12.9,0.009,7.01,3.4,274,17,"0.1","integrated",16.1176470588235
"Okareka","1","Stratified",2020-07-21,6.9,0.015,7.57,6.7,194,13,"0.1","integrated",14.9230769230769
"Rotoehu","3","Polymictic",2020-07-21,11.5,0.022,8,3.15,295,17,"0.1","integrated",17.3529411764706
"Rotoiti","4","Stratified",2020-07-21,4.7,0.03,7.23,6.9,155,36,"0.1","integrated",4.30555555555556
"Rotoiti","3","Stratified",2020-07-21,5.7,0.021,7.3,7.1,169,36,"0.1","integrated",4.69444444444444
"Tarawera","5","Stratified",2020-07-21,3,0.006,7.75,9.35,62,12,"0.1","integrated",5.16666666666667
"Tikitapu","1","Stratified",2020-07-22,4.6,0.007,6.82,4.45,164,5,"0.1","integrated",32.8
